LINK ID,avg_daily_congestion,avg_daily_co2,quadrant
1013669,1.381603558219333,34618.397970223545,4사분면: 양호한 구간
1013670,1.4799870515704487,38150.0168611542,4사분면: 양호한 구간
1013671,14.887305554061696,6725.833868878049,2사분면: 숨은 병목 구간
1013672,2.5064931705667957,31035.45487445897,4사분면: 양호한 구간
1013673,2.1887049674379964,18411.63627095542,4사분면: 양호한 구간
1013674,14.860549674233035,5746.1703009101775,2사분면: 숨은 병목 구간
1013675,17.316423371101763,3406.0427069903794,2사분면: 숨은 병목 구간
1013676,14.919785604730068,2617.043159088356,2사분면: 숨은 병목 구간
1013677,2.2664790185557533,20772.419102575877,4사분면: 양호한 구간
1013678,2.1658157087849568,18350.400342462875,4사분면: 양호한 구간
1013679,1.5309683940962975,59718.49083480902,4사분면: 양호한 구간
1013680,1.2586042897402328,36215.01588047039,4사분면: 양호한 구간
1013681,12.143798765320433,3441.960781378149,2사분면: 숨은 병목 구간
1013682,2.603365534671378,31316.594154433755,4사분면: 양호한 구간
1013683,2.1951853519629014,24609.384202535348,4사분면: 양호한 구간
1013684,10.270164601084025,6913.891339428774,2사분면: 숨은 병목 구간
1013685,3.0920328604228007,5566.210540495074,4사분면: 양호한 구간
1013686,2.2509336029016604,14428.73530731193,4사분면: 양호한 구간
1013687,8.865570074545571,7454.162257432433,2사분면: 숨은 병목 구간
1013688,3.1171787378056446,14930.038046792468,4사분면: 양호한 구간
1013689,3.186186928849015,12521.646744383948,4사분면: 양호한 구간
1013690,3.071723974103804,34352.890858800696,4사분면: 양호한 구간
1013691,2.517638005197013,24002.60271909091,4사분면: 양호한 구간
1013692,14.937317806524128,6704.229242612294,2사분면: 숨은 병목 구간
1013694,6.468051750576286,31127.813151926908,2사분면: 숨은 병목 구간
1013695,10.112531955511114,10940.391862558949,2사분면: 숨은 병목 구간
1013696,0.8266305527794139,103312.39589377384,3사분면: 효율적인 간선도로
1013697,0.28011779809628545,272749.89957016916,3사분면: 효율적인 간선도로
1013698,0.4486505843609878,137240.04931705605,3사분면: 효율적인 간선도로
1013699,0.4446450957377865,202744.15893817577,3사분면: 효율적인 간선도로
1013700,0.4789625248904821,66122.18428769973,4사분면: 양호한 구간
1013701,0.5470061317316909,125064.3776283192,3사분면: 효율적인 간선도로
1013702,0.2637335505074309,292635.04970436747,3사분면: 효율적인 간선도로
1013703,0.2884904942509226,367110.80387874384,3사분면: 효율적인 간선도로
1013704,0.3865653581935118,228475.8549047336,3사분면: 효율적인 간선도로
1013705,10.465806171843612,4755.374076171486,2사분면: 숨은 병목 구간
